Fecha,Hora,caudal m3 chamiza
12/02/2022,00:13,1.876
12/02/2022,00:43,1.876
12/02/2022,01:13,1.876
12/02/2022,01:43,1.876
12/02/2022,02:13,1.876
12/02/2022,02:43,1.876
12/02/2022,03:13,1.876
12/02/2022,03:43,1.876
12/02/2022,04:13,1.876
12/02/2022,04:43,1.876
12/02/2022,05:13,1.876
12/02/2022,05:43,1.876
12/02/2022,06:13,1.876
12/02/2022,06:43,1.876
12/02/2022,07:13,1.876
12/02/2022,07:43,1.876
12/02/2022,08:13,1.876
12/02/2022,08:43,1.876
12/02/2022,09:13,1.876
12/02/2022,09:43,1.876
12/02/2022,10:13,1.876
12/02/2022,10:43,1.876
12/02/2022,11:13,1.876
12/02/2022,11:43,1.876
12/02/2022,12:13,1.876
12/02/2022,12:43,1.876
12/02/2022,13:13,1.876
12/02/2022,13:43,1.876
12/02/2022,14:13,1.876
12/02/2022,14:43,1.876
12/02/2022,15:13,1.876
12/02/2022,15:43,1.876
12/02/2022,16:13,1.876
12/02/2022,16:43,1.876
12/02/2022,17:13,1.876
12/02/2022,17:43,1.876
12/02/2022,18:13,1.876
12/02/2022,18:43,1.876
12/02/2022,19:13,1.876
12/02/2022,19:43,1.876
12/02/2022,20:13,1.876
12/02/2022,20:43,1.876
12/02/2022,21:13,1.876
12/02/2022,21:43,1.876
12/02/2022,22:13,1.876
12/02/2022,22:43,1.876
12/02/2022,23:13,1.876
12/02/2022,23:43,1.876
13/02/2022,00:13,1.876
13/02/2022,00:43,1.876
13/02/2022,01:13,1.876
13/02/2022,01:43,1.876
13/02/2022,02:13,1.876
13/02/2022,02:43,1.876
13/02/2022,03:13,1.876
13/02/2022,03:43,1.876
13/02/2022,04:13,1.876
13/02/2022,04:43,1.876
13/02/2022,05:13,1.876
13/02/2022,05:43,1.876
13/02/2022,06:13,1.876
13/02/2022,06:43,1.876
13/02/2022,07:13,1.876
13/02/2022,07:43,1.876
13/02/2022,08:13,1.876
13/02/2022,08:43,1.876
13/02/2022,09:13,1.876
13/02/2022,09:43,1.876
13/02/2022,10:13,1.876
13/02/2022,10:43,1.876
13/02/2022,11:13,1.876
13/02/2022,11:43,1.876
13/02/2022,12:13,1.876
13/02/2022,12:43,1.876
13/02/2022,13:13,1.876
13/02/2022,13:43,1.876
13/02/2022,14:13,1.876
13/02/2022,14:43,1.876
13/02/2022,15:13,1.876
13/02/2022,15:43,1.876
13/02/2022,16:13,1.876
13/02/2022,16:43,1.876
13/02/2022,17:13,1.876
13/02/2022,17:43,1.876
13/02/2022,18:13,1.876
13/02/2022,18:43,1.876
13/02/2022,19:13,1.876
13/02/2022,19:43,1.876
13/02/2022,20:13,1.876
13/02/2022,20:43,1.876
13/02/2022,21:13,1.876
13/02/2022,21:43,1.876
13/02/2022,22:13,1.876
13/02/2022,22:43,1.876
13/02/2022,23:13,1.876
13/02/2022,23:43,1.876
14/02/2022,00:13,1.876
14/02/2022,00:43,1.876
14/02/2022,01:13,1.876
14/02/2022,01:43,1.876
14/02/2022,02:13,1.876
14/02/2022,02:43,1.876
14/02/2022,03:13,1.876
14/02/2022,03:43,1.876
14/02/2022,04:13,1.876
14/02/2022,04:43,1.876
14/02/2022,05:13,1.876
14/02/2022,05:43,1.876
14/02/2022,06:13,1.876
14/02/2022,06:43,1.876
14/02/2022,07:13,1.876
14/02/2022,07:43,1.876
14/02/2022,08:13,1.876
14/02/2022,08:43,1.876
14/02/2022,09:13,1.876
14/02/2022,09:43,1.876
14/02/2022,10:13,1.876
14/02/2022,10:43,1.876
14/02/2022,11:13,1.876
14/02/2022,11:43,1.876
14/02/2022,12:13,1.876
14/02/2022,12:43,1.876
14/02/2022,13:13,1.876
14/02/2022,13:43,1.876
14/02/2022,14:13,1.876
14/02/2022,14:43,1.876
14/02/2022,15:13,1.876
14/02/2022,15:43,1.876
14/02/2022,16:13,1.876
