Fecha,Hora,caudal m3 puelo
12/02/2022,00:46,204.424
12/02/2022,01:46,204.424
12/02/2022,02:46,204.424
12/02/2022,03:46,204.424
12/02/2022,04:46,204.424
12/02/2022,05:46,204.424
12/02/2022,06:46,204.424
12/02/2022,07:46,204.424
12/02/2022,08:46,204.424
12/02/2022,09:46,202.882
12/02/2022,10:46,202.882
12/02/2022,11:46,202.882
12/02/2022,12:46,202.882
12/02/2022,13:46,202.882
12/02/2022,14:46,202.882
12/02/2022,15:46,201.340
12/02/2022,16:46,201.340
12/02/2022,17:46,201.340
12/02/2022,18:46,200.066
12/02/2022,19:46,200.066
12/02/2022,20:46,200.066
12/02/2022,21:46,200.066
12/02/2022,22:46,200.066
12/02/2022,23:46,200.066
13/02/2022,00:46,200.066
13/02/2022,01:46,200.066
13/02/2022,02:46,200.066
13/02/2022,03:46,200.066
13/02/2022,04:46,200.066
13/02/2022,05:46,200.066
13/02/2022,06:46,200.066
13/02/2022,07:46,200.066
13/02/2022,08:46,201.340
13/02/2022,09:46,201.340
13/02/2022,10:46,201.340
13/02/2022,11:46,201.340
13/02/2022,12:46,201.340
13/02/2022,13:46,201.340
13/02/2022,14:46,201.340
13/02/2022,15:46,201.340
13/02/2022,16:46,201.340
13/02/2022,17:46,201.340
13/02/2022,18:46,200.066
13/02/2022,19:46,200.066
13/02/2022,20:46,201.340
13/02/2022,21:46,201.340
13/02/2022,23:46,201.340
14/02/2022,00:46,201.340
14/02/2022,01:46,201.340
14/02/2022,02:46,201.340
14/02/2022,03:46,202.882
14/02/2022,04:46,202.882
14/02/2022,05:46,202.882
14/02/2022,06:46,202.882
14/02/2022,07:46,204.424
14/02/2022,08:46,204.424
14/02/2022,09:46,204.424
14/02/2022,10:46,205.966
14/02/2022,11:46,205.966
14/02/2022,12:46,205.966
14/02/2022,13:46,205.966
14/02/2022,14:46,205.966
14/02/2022,15:46,205.966
14/02/2022,16:46,205.966
14/02/2022,17:46,205.966
14/02/2022,18:46,205.966
14/02/2022,19:46,205.966
14/02/2022,20:46,205.966
14/02/2022,21:46,205.966
14/02/2022,22:46,205.966
14/02/2022,23:46,205.966
15/02/2022,00:46,205.966
15/02/2022,01:46,205.966
15/02/2022,02:46,205.966
15/02/2022,03:46,205.966
15/02/2022,04:46,205.966
15/02/2022,05:46,205.966
15/02/2022,06:46,205.966
15/02/2022,07:46,205.966
15/02/2022,08:46,205.966
15/02/2022,09:46,205.966
15/02/2022,10:46,205.966
15/02/2022,11:46,205.966
15/02/2022,12:46,205.966
15/02/2022,13:46,205.966
15/02/2022,14:46,205.966
15/02/2022,15:46,205.966
15/02/2022,16:46,204.424
15/02/2022,17:46,204.424
15/02/2022,18:46,204.424
15/02/2022,19:46,204.424
15/02/2022,20:46,204.424
15/02/2022,21:46,202.882
15/02/2022,22:46,202.882
15/02/2022,23:46,202.882
16/02/2022,00:46,202.882
16/02/2022,01:46,201.340
16/02/2022,02:46,201.340
16/02/2022,03:46,201.340
16/02/2022,04:46,201.340
16/02/2022,05:46,201.340
16/02/2022,06:46,201.340
16/02/2022,07:46,201.340
16/02/2022,08:46,201.340
16/02/2022,09:46,201.340
16/02/2022,10:46,201.340
16/02/2022,11:46,201.340
16/02/2022,12:46,201.340
16/02/2022,13:46,201.340
16/02/2022,14:46,201.340
16/02/2022,15:46,201.340
16/02/2022,16:46,202.882
16/02/2022,17:46,202.882
16/02/2022,18:46,202.882
16/02/2022,19:46,202.882
16/02/2022,20:46,202.882
16/02/2022,21:46,202.882
16/02/2022,22:46,202.882
16/02/2022,23:46,202.882
17/02/2022,00:46,202.882
17/02/2022,01:46,202.882
17/02/2022,02:46,204.424
17/02/2022,03:46,204.424
17/02/2022,04:46,204.424
17/02/2022,05:46,204.424
17/02/2022,06:46,204.424
17/02/2022,07:46,204.424
17/02/2022,08:46,204.424
17/02/2022,09:46,204.424
17/02/2022,10:46,204.424
17/02/2022,11:46,204.424
17/02/2022,12:46,205.966
17/02/2022,13:46,204.424
17/02/2022,14:46,204.424
17/02/2022,15:46,204.424
17/02/2022,16:46,202.882
17/02/2022,17:46,202.882
